,0
0,ABASTO-REFORMA
1,ALPES
2,ANGEL-ZONA ROSA
3,ARAGON
4,ARENAL
5,ASTURIAS
6,BUENAVISTA
7,CHAPULTEPEC
8,CHURUBUSCO
9,CLAVERIA
10,COAPA
11,CONGRESO
12,CONSULADO
13,CORREDOR-CENTRO
14,COYOACAN
15,CUAJIMALPA
16,CUAUTEPEC
17,CUCHILLA
18,CUITLAHUAC
19,CULHUACAN
20,DEL VALLE
21,DINAMO
22,EL YAQUI
23,ESTRELLA
24,FUENTE
25,GRANJAS
26,HORMIGA
27,HUIPULCO-HOSPITALES
28,IZTACCIHUATL
29,LA NORIA
30,LA RAZA
31,LINDAVISTA
32,MERCED-BALBUENA
33,MILPA ALTA
34,MIXCALCO-HERALDO
35,MIXQUIC
36,MOCTEZUMA
37,MORELOS
38,NAPOLES
39,NARVARTE-ALAMOS
40,NATIVITAS
41,OASIS
42,PADIERNA
43,PANTITLAN
44,PLATEROS
45,POLANCO-CASTILLO
46,PORTALES
47,PRADERA
48,QUETZAL
49,QUIROGA
50,REVOLUCION-ALAMEDA
51,ROMA
52,SAN ANGEL
53,SAN JERONIMO
54,SANTA CRUZ
55,SANTA FE
56,SOTELO
57,TACUBA
58,TACUBAYA
59,TAXQUEÃ‘A
60,TECOMITL
61,TEOTONGO
62,TEPEPAN
63,TEPEYAC
64,TEZONCO
65,TICOMAN
66,TLACOTAL
67,TLATELOLCO
68,UNIVERSIDAD
69,XOTEPINGO
70,ZAPOTITLA
71,ZARAGOZA
